objectid,filename,title,format,description,date,location,source
hall1885,1885stlawhall.jpg,St. Lawrence Hall Circa 1885,image/jpeg,Glass Plate Negative Photo of St. Lawrence Hall,Circa 1855,"St. Lawrence Hall, Toronto, Ontario",digitalarchivetpl.ca
hall1950,stlawhallcirca1950.jpg,St. Lawrence Hall Circa 1950,image/jpeg,"St. Lawrence Hall at its worst in the late 1950s, shortly before renovations began. Many of the storefronts were boarded up and dirt caked the exterior. Image: Toronto Fire Department.",Circa 1950,"St. Lawrence Hall, Toronto, Ontario",https://spacing.ca/toronto/2016/12/09/rise-fall-st-lawrence-hall/
playbill,concertplaybill.jpg,Mademoiselle Jenny Lind's Second & Last Grand Concert Playbill,image/jpeg,Playbill for Grand Concert Held in St. Lawrence Hall,1851,"St. Lawrence Hall, Toronto, Ontario",http://digitalarchivetpl.ca/
eastreno,eastwingreno.jpg,Collapsed East Wing During the Centennial Renovations,image/jpeg,A large portion of the east wing of St. Lawrence Hall collapsed during the Centennial renovations. Image: Toronto Daily Star.,"March 10, 1967","St. Lawrence Hall, Toronto, Ontario",Toronto Daily Star
greathall,greathallreno.jpg,The Skeleton of the Great Hall During Renovations,image/jpeg,The Great Halls Exposed Skeleton During Renovations Before it was Replaced with Plasterwork and Panelling by Experts.,Circa 1996,"St. Lawrence Hall, Toronto, Ontario",Toronto Fire Department
ptrudeau,ptrudeau1967.jpg,Piere Trudeau at St. Lawrence Hall,image/jpeg,Pierre Trudeau appeared at St. Lawrence Hall during his successful run for the leadership of the Liberal party in 1967. Image: Toronto Daily Star.,1967,"St. Lawrence Hall, Toronto, Ontario",Toronto Daily Star
fire1973,stlawhallfire1973.jpg,Attic Fire in St. Lawrence Hall,image/jpeg,"St. Lawrence Hall Clouded by Smoke Caused by An Attic Fire, Damaging Three Floors of the West Wing and Driving More Than 300 People Out",10/2/1973,"St. Lawrence Hall, Toronto, Ontario",http://digitalarchivetpl.ca/
hallinterior,stlawhallinterior.jpg,"St. Lawrence Hall, Interior, North End of Hall",image/jpeg,The North End of the Halls Interior,1898,"St. Lawrence Hall, Toronto, Ontario",http://digitalarchivetpl.ca/
fugitive,voiceofthefugitive.jpg,Call for a North American Convention Newspaper Clipping,image/jpeg,"1851 convention for coloured freemen (“three day convention at St. Lawrence Hall in Toronto from September 11-13, 1851.”)","July 30, 1851","St. Lawrence Hall, Toronto, Ontario",https://1851.myseumoftoronto.com/the-1851-convention/
titlepic,hall.png,St. Lawrence Hall Collage,image/png,A Collage of the St. Lawrence Hall,,,